loctype,location,long,lat
T,Ahaggo Museum,24.8762,36.0771
T,Ahaggo Museum,24.8762,36.0772
T,Albert Clothing,24.8563,36.0752
T,Albert Clothing,24.8563,36.0753
T,Albert Clothing,24.8564,36.0752
T,Albert Clothing,24.8564,36.0753
T,Bean There,24.8509,36.0817
T,Bean There,24.8509,36.0818
T,Bean There,24.851,36.0817
T,Bean There,24.851,36.0818
T,Brew Served,24.9011,36.054
T,Brew Served,24.9012,36.054
T,Brew Served,24.9012,36.0541
T,Brew Served,24.9013,36.054
T,Brew Served,24.9013,36.0541
T,Brewed Awakenings,24.8642,36.0733
T,Brewed Awakenings,24.8642,36.0734
I,Carlyle Chemical,24.8809,36.0584
I,Carlyle Chemical,24.8809,36.0585
I,Carlyle Chemical,24.8809,36.0586
I,Carlyle Chemical,24.881,36.0585
I,Carlyle Chemical,24.881,36.0586
T,Chostus Hotel,24.8951,36.0706
T,Chostus Hotel,24.8952,36.0706
T,Chostus Hotel,24.8952,36.0707
T,Chostus Hotel,24.8953,36.0706
T,Chostus Hotel,24.8953,36.0707
T,Coffee Cameleon,24.8897,36.0546
T,Coffee Cameleon,24.8897,36.0547
T,Coffee Cameleon,24.8898,36.0546
T,Coffee Cameleon,24.8898,36.0547
T,Desafio Golf Course,24.8606,36.0895
T,Desafio Golf Course,24.8606,36.0896
T,Desafio Golf Course,24.8607,36.0895
T,Desafio Golf Course,24.8607,36.0896
T,Desafio Golf Course,24.8608,36.0895
T,Desafio Golf Course,24.8608,36.0896
T,Frank Fuel,24.8413,36.0721
T,Frank Fuel,24.8413,36.0722
T,Frydos Autosupply,24.9017,36.055
T,Frydos Autosupply,24.9018,36.0549
T,Frydos Autosupply,24.9018,36.055
T,Frydos Autosupply,24.9019,36.0549
T,Frydos Autosupply,24.9019,36.055
T,Gelatogalore,24.858,36.0596
T,Gelatogalore,24.858,36.0597
T,Gelatogalore,24.858,36.0598
T,Gelatogalore,24.8581,36.0596
T,Gelatogalore,24.8581,36.0597
T,Gelatogalore,24.8581,36.0598
T,General Grocer,24.8565,36.0603
T,General Grocer,24.8565,36.0604
T,General Grocer,24.8566,36.0603
T,General Grocer,24.8566,36.0604
T,General Grocer,24.8567,36.0603
T,Guy Gyros,24.9024,36.0557
T,Guy Gyros,24.9024,36.0558
T,Guy Gyros,24.9025,36.0557
T,Guy Gyros,24.9025,36.0558
T,Guy Gyros,24.9025,36.0559
T,Guy Gyros,24.9026,36.0557
T,Guy Gyros,24.9026,36.0558
T,Guy Gyros,24.9026,36.0559
T,Hallowed Grounds,24.8859,36.0636
T,Hallowed Grounds,24.8859,36.0637
T,Hallowed Grounds,24.886,36.0636
T,Hallowed Grounds,24.886,36.0637
T,Hippokampos ,24.8574,36.0767
T,Hippokampos ,24.8575,36.0766
T,Hippokampos ,24.8575,36.0767
T,Hippokampos ,24.8576,36.0765
T,Hippokampos ,24.8576,36.0766
T,Hippokampos ,24.8576,36.0767
T,Hippokampos ,24.8577,36.0766
T,Hippokampos ,24.8577,36.0767
T,Jack Beans,24.8733,36.0675
T,Jack Beans,24.8733,36.0676
T,Jack Beans,24.8734,36.0675
T,Jack Beans,24.8734,36.0676
T,Kalami Kafenion,24.8523,36.0658
T,Kalami Kafenion,24.8524,36.0658
T,Kalami Kafenion,24.8524,36.0659
T,Kalami Kafenion,24.8525,36.0658
T,Katerina cafe ,24.8998,36.0544
T,Katerina cafe ,24.8998,36.0545
T,Katerina cafe ,24.8999,36.0544
T,Katerina cafe ,24.8999,36.0545
T,Katerina cafe ,24.9,36.0544
T,Katerina cafe ,24.9,36.0545
T,Katerina cafe ,24.9,36.0546
T,Kronos Mart,24.8498,36.0658
T,Kronos Mart,24.8498,36.0659
T,Kronos Mart,24.8499,36.0658
I,Kronos Pipe,24.8327,36.0652
I,Kronos Pipe,24.833,36.0653
I,Kronos Pipe,24.8331,36.0652
I,Kronos Pipe,24.8331,36.0653
I,Kronos Pipe,24.8332,36.0652
I,Kronos Pipe,24.8332,36.0653
I,Max Iron & Steel,24.8413,36.064
I,Max Iron & Steel,24.8413,36.0641
I,Max Iron & Steel,24.8414,36.064
I,Max Iron & Steel,24.8414,36.0641
I,Max Iron & Steel,24.8415,36.064
I,Nationwide Refinery,24.8854,36.0584
I,Nationwide Refinery,24.8854,36.0585
I,Nationwide Refinery,24.8855,36.0582
I,Nationwide Refinery,24.8855,36.0583
I,Nationwide Refinery,24.8855,36.0584
I,Nationwide Refinery,24.8855,36.0585
I,Nationwide Refinery,24.8856,36.0584
I,Nationwide Refinery,24.8856,36.0585
T,Octavio O Supplies,24.8579,36.0585
T,Octavio O Supplies,24.8579,36.0586
T,Octavio O Supplies,24.858,36.0585
T,Octavio O Supplies,24.858,36.0586
T,Ouzeri Elian,24.8708,36.0519
T,Ouzeri Elian,24.8708,36.052
T,Ouzeri Elian,24.8709,36.0519
T,Ouzeri Elian,24.8709,36.052
T,Roberts and Sons,24.8523,36.0632
T,Roberts and Sons,24.8523,36.0633
T,Shoppers Delight,24.8682,36.0528
T,Shoppers Delight,24.8686,36.0528
T,Shoppers Delight,24.8686,36.0529
T,Shoppers Delight,24.8687,36.0528
T,Shoppers Delight,24.8687,36.0529
I,Stewart and Sons,24.9081,36.0541
I,Stewart and Sons,24.9081,36.0542
I,Stewart and Sons,24.9082,36.0541
I,Stewart and Sons,24.9082,36.0542
I,Stewart and Sons,24.9083,36.0542
I,Stewart and Sons,24.9084,36.0544
T,U Pump,24.8715,36.0677
T,U Pump,24.8715,36.0678
T,U Pump,24.8716,36.0677
I,Abila Airport,24.8259,36.0508
I,Abila Airport,24.8259,36.0509
I,Abila Airport,24.8259,36.051
I,Abila Airport,24.826,36.0508
I,Abila Airport,24.826,36.0509
I,Abila Airport,24.826,36.051
I,Abila Airport,24.8261,36.0505
